feature_1,feature_2,correlation,to_remove
away_ema_corners_conceded_3g,expected_corners_poisson_home,0.9054796275353458,expected_corners_poisson_home
away_ema_corners_conceded_3g,away_defense_strength,0.9379169377061356,away_defense_strength
away_ema_corners_conceded_3g,away_ema_corners_conceded_5g,0.9675425646671543,away_ema_corners_conceded_5g
home_ema_corners_conceded_3g,home_ema_corners_conceded_5g,0.9669757268222597,home_ema_corners_conceded_5g
home_ema_corners_conceded_3g,home_defense_strength,0.9377022692445538,home_defense_strength
away_ema_corners_3g,away_ema_corners_5g,0.9646048564517734,away_ema_corners_5g
away_ema_corners_3g,away_attack_strength,0.9424147282776993,away_attack_strength
home_ema_corners_3g,home_ema_corners_5g,0.9694242914581819,home_ema_corners_5g
home_ema_corners_3g,expected_corners_poisson_home,0.9083879856680259,expected_corners_poisson_home
home_ema_corners_3g,home_attack_strength,0.9471988474970404,home_attack_strength
home_ema_corners_3g,home_da_efficiency,0.9694242914581819,home_da_efficiency
home_ema_corners_10g,home_ema_corners_5g,0.9397062632683358,home_ema_corners_5g
home_ema_corners_10g,home_attack_strength,0.9010502714175469,home_attack_strength
home_ema_corners_10g,home_da_efficiency,0.9397062632683358,home_da_efficiency
away_ema_corners_10g,away_ema_corners_5g,0.9355165315734758,away_ema_corners_5g
home_avg_corners_conceded_10g,away_relative_opponent_defense,0.9349621005807923,away_relative_opponent_defense
home_avg_corners_conceded_10g,away_opponent_defense_strength,0.9519145463662947,away_opponent_defense_strength
away_ema_corners_5g,away_attack_strength,0.9693828542478999,away_attack_strength
home_ema_corners_5g,home_attack_strength,0.9707439304188776,home_attack_strength
home_ema_corners_5g,home_da_efficiency,1.0,home_da_efficiency
home_ema_corners_ht_3g,home_ema_corners_ht_5g,0.968035491929044,home_ema_corners_ht_5g
home_relative_opponent_defense,away_avg_corners_conceded_10g,0.9377333652727408,away_avg_corners_conceded_10g
home_attack_strength,home_da_efficiency,0.9707439304188775,home_da_efficiency
away_ema_corners_ht_10g,away_ema_corners_ht_5g,0.9342673537799313,away_ema_corners_ht_5g
home_ema_corners_ht_10g,home_ema_corners_ht_5g,0.9355362855312057,home_ema_corners_ht_5g
away_relative_opponent_defense,away_opponent_defense_strength,0.9820063605758085,away_opponent_defense_strength
home_ema_blocked_shots_3g,home_ema_blocked_shots_5g,0.9691219004542599,home_ema_blocked_shots_5g
away_defense_strength,away_ema_corners_conceded_5g,0.9609347026109795,away_ema_corners_conceded_5g
home_ema_crosses_3g,home_ema_crosses_5g,0.9709564380027312,home_ema_crosses_5g
home_ema_corners_conceded_5g,home_ema_corners_conceded_10g,0.9377213946663325,home_ema_corners_conceded_10g
home_ema_corners_conceded_5g,home_defense_strength,0.9609478864200907,home_defense_strength
away_ema_shots_10g,away_ema_shots_5g,0.9452925028987408,away_ema_shots_5g
away_ema_blocked_shots_10g,away_ema_blocked_shots_5g,0.9351782247452457,away_ema_blocked_shots_5g
away_ema_blocked_shots_5g,away_ema_blocked_shots_3g,0.9654633307877188,away_ema_blocked_shots_3g
away_ema_crosses_10g,away_ema_crosses_5g,0.9404920996749847,away_ema_crosses_5g
away_ema_crosses_3g,away_ema_crosses_5g,0.9666299424620488,away_ema_crosses_5g
away_ema_corners_ht_5g,away_ema_corners_ht_3g,0.9649413363598817,away_ema_corners_ht_3g
home_ema_blocked_shots_10g,home_ema_blocked_shots_5g,0.9392505390708891,home_ema_blocked_shots_5g
home_ema_goals_10g,home_ema_goals_5g,0.9455918393233999,home_ema_goals_5g
away_ema_goals_5g,away_ema_goals_3g,0.9689209617387319,away_ema_goals_3g
away_ema_goals_5g,away_ema_goals_10g,0.9460939203660602,away_ema_goals_10g
away_ema_corners_conceded_10g,away_ema_corners_conceded_5g,0.9356428493743842,away_ema_corners_conceded_5g
home_ema_crosses_5g,home_ema_crosses_10g,0.943750236015856,home_ema_crosses_10g
away_ema_shots_5g,away_ema_shots_3g,0.9688309259232336,away_ema_shots_3g
